,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory
4794,GCF_001650585.1,Escherichia coli Genome sequencing and assembly,,,Microbe sample from Escherichia coli,,homo sapiens,,,,patient with bloody diarrhea,,,"Microbe, viral or environmental",True,
4795,GCF_001651685.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,UTI,24-year-old female,,,Pathogen.cl,True,
4796,GCF_001651695.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,UTI,12-year-old female,,,Pathogen.cl,True,
4814,GCF_001660545.2,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Diabetic foot infection,foot secretion,,,Pathogen.cl,True,
4819,GCF_001677515.1,Escherichia coli Genome sequencing,,GenomeTrakr,Clinical or host-associated pathogen sample for Escherichia coli,,homo sapiens,,,missing,bagged lettuce,,,Pathogen.cl,True,
4820,GCF_001677515.1,"Food and Drug Administration, Center for Food Safety and Applied Nutrition: FoodBorne Pathogen Research",,GenomeTrakr,Clinical or host-associated pathogen sample for Escherichia coli,,homo sapiens,,,missing,bagged lettuce,,,Pathogen.cl,True,
4837,GCF_001704555.1,From Escherich to the Escherichia coli genome,,,Bacterium coli commune,,homo sapiens,,,healthy,feaces,,,Pathogen.cl,True,
4844,GCF_001713585.1,Escherichia coli strain:NA084 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Urinary tract infection,urine sample from patient with urinary tract infection,,,Pathogen.cl,True,
4919,GCF_001865195.1,Escherichia coli strain:Fec101 Genome sequencing and assembly,,,Microbe sample from Escherichia coli,,homo sapiens,,,,fecal swab,,,"Microbe, viral or environmental",True,
5002,GCF_001467005.1,Escherichia coli NCCP 15655 Genome sequencing and assembly,,,Sample from Escherichia coli NCCP 15655,,homo sapiens,,,,feces of a female patient with diarrhea,,,Generic,True,
5003,GCF_001466815.1,Escherichia coli NCCP 15656 Genome sequencing and assembly,,,Sample from Escherichia coli NCCP 15656,,homo sapiens,,,,feces of a male patient with diarrhea,,,Generic,True,
5005,GCF_001447405.1,Escherichia coli str. Deng Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli str. Deng,,homo sapiens,,,diarrhea,feces from a 2-year old child with diarrhea,,,Pathogen.cl,True,
5190,GCF_001893765.1,Carbapenem resistant Escherichia coli among farms,,,Microbe sample from Escherichia coli,,homo sapiens,,,,fecal swabs from commercial chicken farm,,,"Microbe, viral or environmental",True,
5193,GCF_001893865.1,Carbapenem resistant Escherichia coli among farms,,,Microbe sample from Escherichia coli,,homo sapiens,,,,urine sample from a 55-year-old female with chronic diarrhea,,,"Microbe, viral or environmental",True,
5223,GCF_001894505.1,Carbapenem resistant Escherichia coli among farms,,,Microbe sample from Escherichia coli,,homo sapiens,,,,fecal swabs from commercial chicken farm,,,"Microbe, viral or environmental",True,
5224,GCF_001894545.1,Carbapenem resistant Escherichia coli among farms,,,Microbe sample from Escherichia coli,,homo sapiens,,,,fecal swabs from commercial chicken farm,,,"Microbe, viral or environmental",True,
5773,GCF_002125925.1,Escherichia coli  genome sequencing,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,intra-abdominal infections,urine from cystostomy,,,Pathogen.cl,True,
5774,GCF_002133365.1,Escherichia coli  genome sequencing,,,Microbe sample from Escherichia coli,,homo sapiens,,,,"urine, bladder (ub)",,,"Microbe, viral or environmental",True,
5913,GCF_002188315.1,Escherichia coli strain:HSP38 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Respiratory infection,bronchoaspirate sample,,,Pathogen.cl,True,
6039,GCF_002216915.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Urinary infection,urine culture,,,Pathogen.cl,True,
6040,GCF_002216955.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Urinary infection,urine culture,,,Pathogen.cl,True,
6041,GCF_002216975.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Pulmonary infection,sputum culture,,,Pathogen.cl,True,
6042,GCF_002216985.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Urine infection,urine culture,,,Pathogen.cl,True,
6044,GCF_002217035.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Urine infection,urine culture,,,Pathogen.cl,True,
6045,GCF_002217055.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Urine infection,urine culture,,,Pathogen.cl,True,
6047,GCF_002217115.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Urinary infection,urine culture,,,Pathogen.cl,True,
6048,GCF_002217135.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Urinary infection,urine culture,,,Pathogen.cl,True,
6049,GCF_002217145.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Urinary infection,urine culture,,,Pathogen.cl,True,
6066,GCF_002223845.1,Escherichia coli Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Urinary infection,urine culture,,,Pathogen.cl,True,
6070,GCF_002224785.1,Escherichia coli : strain NA447 Genome sequencing,,,Microbe sample from Escherichia coli: NA447,,homo sapiens,,,,pus from 70 year old female,,,"Microbe, viral or environmental",True,
6071,GCF_002225075.1,The Genome sequencing and assembly of Escherichia spp.,,,The microbe sample of WCHEC-LL123,,homo sapiens,,,,secretion sample,,,"Microbe, viral or environmental",True,
7176,GCF_002283505.1,First report of mcr-1-mediated colistin resistance in Enterobacteriaceae from human clinical isolates in Colombia.,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,missing,vaginal secretion,,,Pathogen.cl,True,
7181,GCF_002283675.1,First report of mcr-1-mediated colistin resistance in Enterobacteriaceae from human clinical isolates in Colombia.,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,missing,abdominal wall abscess,,,Pathogen.cl,True,
7183,GCF_002283715.1,First report of mcr-1-mediated colistin resistance in Enterobacteriaceae from human clinical isolates in Colombia.,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,missing,tissue right toe,,,Pathogen.cl,True,
7245,GCF_002302315.1,"Enterotoxigenic E. coli isolates from Dhaka, Bangladesh",,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Secretory diarrhea,diarrheal stool,,,Pathogen.cl,True,
7246,GCF_002302335.1,"Enterotoxigenic E. coli isolates from Dhaka, Bangladesh",,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Secretory diarrhea,diarrheal stool,,,Pathogen.cl,True,
8753,GCF_002474825.1,GenomeTrakr Project: US Food and Drug Administration,,GenomeTrakr,Pathogen: clinical or host-associated sample from Escherichia coli,,meleagris gallopavo,,,missing,sinus,human,,Pathogen.cl,True,
8754,GCF_002474825.1,GenomeTrakr umbrella project for Escherichia coli and Shigella sp.,,GenomeTrakr,Pathogen: clinical or host-associated sample from Escherichia coli,,meleagris gallopavo,,,missing,sinus,human,,Pathogen.cl,True,
8755,GCF_002474825.1,GenomeTrakr umbrella project,,GenomeTrakr,Pathogen: clinical or host-associated sample from Escherichia coli,,meleagris gallopavo,,,missing,sinus,human,,Pathogen.cl,True,
9214,GCF_002507945.1,"Enterotoxigenic E. coli isolates from Dhaka, Bangladesh",,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Secretory diarrhea,diarrheal stool,,,Pathogen.cl,True,
9236,GCF_002240135.1,Shigella flexneri 1a strain:0670 Genome sequencing and assembly,,,Shigella flexneri1a str. 0670,,homo sapiens,,,,hospitalized patients,,,"Microbe, viral or environmental",True,
9276,GCF_002507955.1,"Enterotoxigenic E. coli isolates from Dhaka, Bangladesh",,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Secretory diarrhea,diarrheal stool,,,Pathogen.cl,True,
9277,GCF_002507975.1,"Enterotoxigenic E. coli isolates from Dhaka, Bangladesh",,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Secretory diarrhea,diarrheal stool,,,Pathogen.cl,True,
9278,GCF_002507985.1,"Enterotoxigenic E. coli isolates from Dhaka, Bangladesh",,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Secretory diarrhea,diarrheal stool,,,Pathogen.cl,True,
10952,GCF_002537345.1,GenomeTrakr Project: US Food and Drug Administration,,GenomeTrakr,Pathogen: environmental/food/other sample from Escherichia coli,,homo sapiens,,,missing,large intestine,human,,Pathogen.env,True,
10953,GCF_002537345.1,GenomeTrakr umbrella project for Escherichia coli and Shigella sp.,,GenomeTrakr,Pathogen: environmental/food/other sample from Escherichia coli,,homo sapiens,,,missing,large intestine,human,,Pathogen.env,True,
10954,GCF_002537345.1,GenomeTrakr umbrella project,,GenomeTrakr,Pathogen: environmental/food/other sample from Escherichia coli,,homo sapiens,,,missing,large intestine,human,,Pathogen.env,True,
11246,GCF_002546345.1,GenomeTrakr Project: US Food and Drug Administration,,GenomeTrakr,Pathogen: environmental/food/other sample from Escherichia coli,,homo sapiens,,,missing,lymph node,human,,Pathogen.env,True,
11247,GCF_002546345.1,GenomeTrakr umbrella project for Escherichia coli and Shigella sp.,,GenomeTrakr,Pathogen: environmental/food/other sample from Escherichia coli,,homo sapiens,,,missing,lymph node,human,,Pathogen.env,True,
11248,GCF_002546345.1,GenomeTrakr umbrella project,,GenomeTrakr,Pathogen: environmental/food/other sample from Escherichia coli,,homo sapiens,,,missing,lymph node,human,,Pathogen.env,True,
11428,GCF_002741295.1,PulseNet Escherichia coli and Shigella genome sequencing,,,Pathogen sample Escherichia coli ATCC 43886,,homo sapiens,,,missing,"feces, human",,,Pathogen.cl,True,
11430,GCF_002741355.1,PulseNet Escherichia coli and Shigella genome sequencing,,,Pathogen sample Escherichia coli ATCC 43896,,homo sapiens,,,missing,infant diarrheic stool,,,Pathogen.cl,True,
11435,GCF_002761675.1,Comparative genomics of asymptomatic bacteriuria Escherichia coli isolates from diabetic patients,,,Microbe sample from Escherichia coli,,homo sapiens,,,,urinary tract of patient suffering from type-2 diabetes,,,"Microbe, viral or environmental",True,
11706,GCF_002803905.1,Complete Nucleotide Sequence of a ST410 Escherichia coli strain carrying blaNDM-5 on an IncF multidrug resistance plasmid and blaOXA-181 on an IncX3 plasmid,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,missing,liver,,,Pathogen.cl,True,
12240,GCF_003031735.1,"Antimicrobial Surveillance from Brigham & Women's Hospital, Boston MA",,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Missing,abdominal,,,Pathogen.cl,True,
12527,GCF_003072445.1,Escherichia coli O104:H4 strain:LB226692 Genome sequencing,,,Pathogen: environmental/food/other sample from Escherichia coli O104:H4,,homo sapiens,,,,stool of hus-patient,,,Pathogen.env,True,
12717,GCF_002950035.1,PulseNet Escherichia coli and Shigella genome sequencing,,,Pathogen sample Shigella boydii ATCC 35964,,homo sapiens,,,missing,feces of patient with dysentery,,,Pathogen.cl,True,
12729,GCF_002943855.1,PulseNet Escherichia coli and Shigella genome sequencing,,,Pathogen sample Shigella dysenteriae ATCC 49345,,homo sapiens,,,missing,feces of patient with diarrhea,,,Pathogen.cl,True,
12736,GCF_002950075.1,PulseNet Escherichia coli and Shigella genome sequencing,,,Pathogen sample Shigella dysenteriae ATCC 49346,,homo sapiens,,,missing,feces of patient with diarrhea,,,Pathogen.cl,True,
12737,GCF_002950095.1,PulseNet Escherichia coli and Shigella genome sequencing,,,Pathogen sample Shigella dysenteriae ATCC 49347,,homo sapiens,,,missing,feces of patient with diarrhea,,,Pathogen.cl,True,
12792,GCF_002967405.1,GenomeTrakr Project: US Food and Drug Administration - CFSAN,,,Pathogen: clinical or host-associated sample from Shigella flexneri,,homo sapiens,,,urethral discharge,urethral discharge,human,,Pathogen.cl,True,
12793,GCF_002967405.1,GenomeTrakr umbrella project for Escherichia coli and Shigella sp.,,,Pathogen: clinical or host-associated sample from Shigella flexneri,,homo sapiens,,,urethral discharge,urethral discharge,human,,Pathogen.cl,True,
12794,GCF_002967405.1,GenomeTrakr umbrella project,,,Pathogen: clinical or host-associated sample from Shigella flexneri,,homo sapiens,,,urethral discharge,urethral discharge,human,,Pathogen.cl,True,
13407,GCF_003342715.1,GenomeTrakr Project: US Food and Drug Administration,,,Pathogen: environmental/food/other sample from Escherichia coli,,,,,,biological fluid,human,,Pathogen.env,True,
13408,GCF_003342715.1,GenomeTrakr umbrella project for Escherichia coli and Shigella sp.,,,Pathogen: environmental/food/other sample from Escherichia coli,,,,,,biological fluid,human,,Pathogen.env,True,
13409,GCF_003342715.1,GenomeTrakr umbrella project,,,Pathogen: environmental/food/other sample from Escherichia coli,,,,,,biological fluid,human,,Pathogen.env,True,
13546,GCF_003570765.1,Escherichia coli GE3 sequencing,,,Escherichia coli GE3 complete genome,,,,,,human feces of different individuals,,,"Microbe, viral or environmental",True,
14047,GCF_003324695.1,Shigella flexneri 2a strain:2a Genome sequencing and assembly,,,Shigella flexneri 2a str. 1508,,homo sapiens,,,,hospitalized patients,,,"Microbe, viral or environmental",True,
14067,GCF_003572905.1,GenomeTrakr Project: US Food and Drug Administration - CFSAN,,GenomeTrakr,Pathogen: clinical or host-associated sample from Shigella sonnei,,homo sapiens,,,missing,outbreak,human,,Pathogen.cl,True,
14068,GCF_003572905.1,GenomeTrakr umbrella project for Escherichia coli and Shigella sp.,,GenomeTrakr,Pathogen: clinical or host-associated sample from Shigella sonnei,,homo sapiens,,,missing,outbreak,human,,Pathogen.cl,True,
14069,GCF_003572905.1,GenomeTrakr umbrella project,,GenomeTrakr,Pathogen: clinical or host-associated sample from Shigella sonnei,,homo sapiens,,,missing,outbreak,human,,Pathogen.cl,True,
14747,GCF_004566475.1,esherishia coli ESBLs surveillance,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,sepsis,sepsis,,,Pathogen.cl,True,
14749,GCF_004566595.1,esherishia coli ESBLs surveillance,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,sepsis,sepsis,,,Pathogen.cl,True,
14750,GCF_004566685.1,esherishia coli ESBLs surveillance,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,sepsis,sepsis,,,Pathogen.cl,True,
